,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
934,Maharashtra Circle,Nagpur Region,Amaravati Division,Bhatkuli S.O,444602,PO,Non Delivery,AMRAVATI,MAHARASHTRA,20.907,77.6026
37630,Maharashtra Circle,Nagpur Region,Chandrapur Division,Subai B.O,442905,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.5733438,79.4422593
37631,Maharashtra Circle,Nagpur Region,Chandrapur Division,Tembhuwahi B.O,442905,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.6924335,79.3571161
37632,Maharashtra Circle,Nagpur Region,Chandrapur Division,Vihirgaon B.O,442905,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.7268087,79.453512
38709,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Nilegaon B.O,413603,BO,Delivery,OSMANABAD,MAHARASHTRA,18.010041,76.0710641
38710,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Omerga Chivari B.O,413603,BO,Delivery,OSMANABAD,MAHARASHTRA,18.010041,76.0710641
38711,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Shahapur B.O,413603,BO,Delivery,OSMANABAD,MAHARASHTRA,18.010041,76.0710641
38712,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Sukta B.O,413504,BO,Delivery,OSMANABAD,MAHARASHTRA,18.4495119,75.6758187
38713,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Uloop B.O,413504,BO,Delivery,OSMANABAD,MAHARASHTRA,18.4495119,75.6758187
38714,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Walwad B.O,413504,BO,Delivery,OSMANABAD,MAHARASHTRA,18.4495119,75.6758187
38715,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Wanjarwadi B.O,413504,BO,Delivery,OSMANABAD,MAHARASHTRA,18.4495119,75.6758187
38716,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Dhanuri B.O,413604,BO,Delivery,OSMANABAD,MAHARASHTRA,17.863953,76.478571
38717,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Ekurga B.O,413604,BO,Delivery,OSMANABAD,MAHARASHTRA,17.863953,76.478571
38718,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Jakekur B.O,413604,BO,Delivery,OSMANABAD,MAHARASHTRA,17.863953,76.478571
38719,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Kaldeo Nimbala B.O,413604,BO,Delivery,OSMANABAD,MAHARASHTRA,17.863953,76.478571
38720,Maharashtra Circle,Pune Region,Satara Division,Ambale B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.3770329,73.901252
38721,Maharashtra Circle,Pune Region,Satara Division,Avarde B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.3770329,73.901252
38722,Maharashtra Circle,Pune Region,Satara Division,Bambawade B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.3770359,73.901249
38723,Maharashtra Circle,Pune Region,Satara Division,Murud B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.5344629,73.9069508
38724,Maharashtra Circle,Pune Region,Satara Division,Nune B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.7228153,73.944428
38870,Maharashtra Circle,Pune Region,Satara Division,Pal B.O,415014,BO,Delivery,SATARA,MAHARASHTRA,17.48785,73.87102
39837,Maharashtra Circle,Nagpur Region,Chandrapur Division,Warud Road B.O,442905,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.7052545,79.3381065
39838,Maharashtra Circle,Nagpur Region,Chandrapur Division,Haramba B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.9687415,79.9220686
39860,Maharashtra Circle,Nagpur Region,Chandrapur Division,Vir R.S. B.O,442905,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.8245,79.62441
39861,Maharashtra Circle,Nagpur Region,Chandrapur Division,Keroda B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.0854018,79.0883932
39862,Maharashtra Circle,Nagpur Region,Chandrapur Division,Londholi B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.0618585,79.8839327
39863,Maharashtra Circle,Nagpur Region,Chandrapur Division,Pendhari Maktha B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,19.7705693,79.3493719
39864,Maharashtra Circle,Nagpur Region,Chandrapur Division,Rajgad B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.0262595,79.7455956
39865,Maharashtra Circle,Nagpur Region,Chandrapur Division,Vyahad BK B.O,441225,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.1047939,79.9332613
39866,Maharashtra Circle,Nagpur Region,Chandrapur Division,Amadi Beguide B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.736842,79.162986
39867,Maharashtra Circle,Nagpur Region,Chandrapur Division,Arjuni B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.3596983,79.2133922
39868,Maharashtra Circle,Nagpur Region,Chandrapur Division,Ashta B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.3122365,79.2303123
39869,Maharashtra Circle,Nagpur Region,Chandrapur Division,Belgaon B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.2173715,79.2056361
39870,Maharashtra Circle,Nagpur Region,Chandrapur Division,Saori B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.183743,79.1628242
39871,Maharashtra Circle,Nagpur Region,Chandrapur Division,Wadadha B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.7198009,79.4890194
39872,Maharashtra Circle,Nagpur Region,Chandrapur Division,Waigaon Tukum B.O,442906,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.2409081,79.2535725
39873,Maharashtra Circle,Nagpur Region,Chandrapur Division,Kondha B.O,442503,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.1315029,79.0652118
39874,Maharashtra Circle,Nagpur Region,Chandrapur Division,Khatgaon B.O,441222,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.3327874,79.635122
39875,Maharashtra Circle,Nagpur Region,Chandrapur Division,Waneri B.O,441222,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.2807148,79.619329
39876,Maharashtra Circle,Nagpur Region,Chandrapur Division,Ankisa B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.725969,80.142161
39877,Maharashtra Circle,Nagpur Region,Chandrapur Division,Arda B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.517271,80.250568
39878,Maharashtra Circle,Nagpur Region,Chandrapur Division,Rangaapalli B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.898098,79.969628
39879,Maharashtra Circle,Nagpur Region,Chandrapur Division,Regunta B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.868083,78.615756
39880,Maharashtra Circle,Nagpur Region,Chandrapur Division,Sironcha Mal B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.847716,79.961237
39881,Maharashtra Circle,Nagpur Region,Chandrapur Division,Tekada B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.99349,79.968229
39882,Maharashtra Circle,Nagpur Region,Chandrapur Division,Vyankatapura B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.130364,82.24339
39883,Maharashtra Circle,Nagpur Region,Chandrapur Division,Ramanoorpur B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.725969,80.142161
39884,Maharashtra Circle,Nagpur Region,Chandrapur Division,Kotapalli B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.725971,80.142163
39885,Maharashtra Circle,Nagpur Region,Chandrapur Division,Somanpalli B.O,442504,BO,Delivery,GADCHIROLI,MAHARASHTRA,18.176868,81.399828
39886,Maharashtra Circle,Nagpur Region,Chandrapur Division,Bond B.O,441221,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.4888763,79.754007
39887,Maharashtra Circle,Nagpur Region,Chandrapur Division,Govindpur B.O,441221,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.4780671,79.6221368
39888,Maharashtra Circle,Nagpur Region,Chandrapur Division,Kanhalgaon Sonule B.O,441221,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.2433934,79.8352767
39889,Maharashtra Circle,Nagpur Region,Chandrapur Division,Kitali Bormal B.O,441221,BO,Delivery,CHANDRAPUR,MAHARASHTRA,20.2164646,79.9808143
39902,Maharashtra Circle,Pune Region,Satara Division,Belawade Haveli B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.7944781,73.9036337
39903,Maharashtra Circle,Pune Region,Satara Division,Charegaon B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.286509,74.181419
39904,Maharashtra Circle,Pune Region,Satara Division,Korivale B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.286508,74.18142
39905,Maharashtra Circle,Pune Region,Satara Division,Marali(Chore) B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.286506,74.181422
39906,Maharashtra Circle,Pune Region,Satara Division,Talbid B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.43745,74.0639
39907,Maharashtra Circle,Pune Region,Satara Division,Tasavade B.O,415109,BO,Delivery,SATARA,MAHARASHTRA,17.371022,74.132805
